F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0     1     0  0  80   0 -  8474 poll_s ?        00:00:00 init
1 S     0     2     0  0  80   0 -     0 kthrea ?        00:00:00 kthreadd
1 S     0     3     2  0  80   0 -     0 smpboo ?        00:00:00 ksoftirqd/0
1 S     0     4     2  0  80   0 -     0 worker ?        00:00:00 kworker/0:0
1 S     0     5     2  0  60 -20 -     0 worker ?        00:00:00 kworker/0:0H
1 R     0     7     2  0  80   0 -     0 ?      ?        00:00:01 rcu_sched
1 S     0     8     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/0
1 S     0     9     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/1
1 S     0    10     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/2
1 S     0    11     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/3
1 S     0    12     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/4
1 S     0    13     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/5
1 S     0    14     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/6
1 S     0    15     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/7
1 S     0    16     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/8
1 S     0    17     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/9
1 S     0    18     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/10
1 S     0    19     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/11
1 S     0    20     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/12
1 S     0    21     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/13
1 S     0    22     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/14
1 S     0    23     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/15
1 S     0    24     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/16
1 S     0    25     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/17
1 S     0    26     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/18
1 S     0    27     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/19
1 S     0    28     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/20
1 S     0    29     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/21
1 S     0    30     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/22
1 S     0    31     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/23
1 S     0    32     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/24
1 S     0    33     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/25
1 S     0    34     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/26
1 S     0    35     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/27
1 S     0    36     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/28
1 S     0    37     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/29
1 S     0    38     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/30
1 S     0    39     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuos/31
1 S     0    40     2  0  80   0 -     0 rcu_gp ?        00:00:00 rcu_bh
1 S     0    41     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuob/0
1 S     0    42     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuob/1
1 S     0    43     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuob/2
1 S     0    44     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuob/3
1 S     0    45     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuob/4
1 S     0    46     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuob/5
1 S     0    47     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuob/6
1 S     0    48     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuob/7
1 S     0    49     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuob/8
1 S     0    50     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuob/9
1 S     0    51     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuob/10
1 S     0    52     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuob/11
1 S     0    53     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuob/12
1 S     0    54     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuob/13
1 S     0    55     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuob/14
1 S     0    56     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuob/15
1 S     0    57     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuob/16
1 S     0    58     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuob/17
1 S     0    59     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuob/18
1 S     0    60     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuob/19
1 S     0    61     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuob/20
1 S     0    62     2  0  80   0 -     0 rcu_no ?        00:00:00 rcuob/21
