UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
root         1     0     1  0    1 15:40 ?        00:00:01 /sbin/init
root         2     0     2  0    1 15:40 ?        00:00:00 [kthreadd]
root         3     2     3  0    1 15:40 ?        00:00:00 [ksoftirqd/0]
root         5     2     5  0    1 15:40 ?        00:00:00 [kworker/0:0H]
root         7     2     7  0    1 15:40 ?        00:00:05 [rcu_sched]
root         8     2     8  0    1 15:40 ?        00:00:03 [rcuos/0]
root         9     2     9  0    1 15:40 ?        00:00:03 [rcuos/1]
root        10     2    10  0    1 15:40 ?        00:00:03 [rcuos/2]
root        11     2    11  0    1 15:40 ?        00:00:00 [rcuos/3]
root        12     2    12  0    1 15:40 ?        00:00:00 [rcuos/4]
root        13     2    13  0    1 15:40 ?        00:00:00 [rcuos/5]
root        14     2    14  0    1 15:40 ?        00:00:00 [rcuos/6]
root        15     2    15  0    1 15:40 ?        00:00:00 [rcuos/7]
root        16     2    16  0    1 15:40 ?        00:00:00 [rcuos/8]
root        17     2    17  0    1 15:40 ?        00:00:00 [rcuos/9]
root        18     2    18  0    1 15:40 ?        00:00:00 [rcuos/10]
root        19     2    19  0    1 15:40 ?        00:00:00 [rcuos/11]
root        20     2    20  0    1 15:40 ?        00:00:00 [rcuos/12]
root        21     2    21  0    1 15:40 ?        00:00:00 [rcuos/13]
root        22     2    22  0    1 15:40 ?        00:00:00 [rcuos/14]
root        23     2    23  0    1 15:40 ?        00:00:00 [rcuos/15]
root        24     2    24  0    1 15:40 ?        00:00:00 [rcuos/16]
root        25     2    25  0    1 15:40 ?        00:00:00 [rcuos/17]
root        26     2    26  0    1 15:40 ?        00:00:00 [rcuos/18]
root        27     2    27  0    1 15:40 ?        00:00:00 [rcuos/19]
root        28     2    28  0    1 15:40 ?        00:00:00 [rcuos/20]
root        29     2    29  0    1 15:40 ?        00:00:00 [rcuos/21]
root        30     2    30  0    1 15:40 ?        00:00:00 [rcuos/22]
root        31     2    31  0    1 15:40 ?        00:00:00 [rcuos/23]
root        32     2    32  0    1 15:40 ?        00:00:00 [rcuos/24]
root        33     2    33  0    1 15:40 ?        00:00:00 [rcuos/25]
root        34     2    34  0    1 15:40 ?        00:00:00 [rcuos/26]
root        35     2    35  0    1 15:40 ?        00:00:00 [rcuos/27]
root        36     2    36  0    1 15:40 ?        00:00:00 [rcuos/28]
root        37     2    37  0    1 15:40 ?        00:00:00 [rcuos/29]
root        38     2    38  0    1 15:40 ?        00:00:00 [rcuos/30]
root        39     2    39  0    1 15:40 ?        00:00:00 [rcuos/31]
root        40     2    40  0    1 15:40 ?        00:00:00 [rcu_bh]
root        41     2    41  0    1 15:40 ?        00:00:00 [rcuob/0]
root        42     2    42  0    1 15:40 ?        00:00:00 [rcuob/1]
root        43     2    43  0    1 15:40 ?        00:00:00 [rcuob/2]
root        44     2    44  0    1 15:40 ?        00:00:00 [rcuob/3]
root        45     2    45  0    1 15:40 ?        00:00:00 [rcuob/4]
root        46     2    46  0    1 15:40 ?        00:00:00 [rcuob/5]
root        47     2    47  0    1 15:40 ?        00:00:00 [rcuob/6]
root        48     2    48  0    1 15:40 ?        00:00:00 [rcuob/7]
root        49     2    49  0    1 15:40 ?        00:00:00 [rcuob/8]
root        50     2    50  0    1 15:40 ?        00:00:00 [rcuob/9]
root        51     2    51  0    1 15:40 ?        00:00:00 [rcuob/10]
root        52     2    52  0    1 15:40 ?        00:00:00 [rcuob/11]
root        53     2    53  0    1 15:40 ?        00:00:00 [rcuob/12]
root        54     2    54  0    1 15:40 ?        00:00:00 [rcuob/13]
root        55     2    55  0    1 15:40 ?        00:00:00 [rcuob/14]
root        56     2    56  0    1 15:40 ?        00:00:00 [rcuob/15]
root        57     2    57  0    1 15:40 ?        00:00:00 [rcuob/16]
root        58     2    58  0    1 15:40 ?        00:00:00 [rcuob/17]
root        59     2    59  0    1 15:40 ?        00:00:00 [rcuob/18]
root        60     2    60  0    1 15:40 ?        00:00:00 [rcuob/19]
root        61     2    61  0    1 15:40 ?        00:00:00 [rcuob/20]
root        62     2    62  0    1 15:40 ?        00:00:00 [rcuob/21]
root        63     2    63  0    1 15:40 ?        00:00:00 [rcuob/22]
root        64     2    64  0    1 15:40 ?        00:00:00 [rcuob/23]
root        65     2    65  0    1 15:40 ?        00:00:00 [rcuob/24]
root        66     2    66  0    1 15:40 ?        00:00:00 [rcuob/25]
root        67     2    67  0    1 15:40 ?        00:00:00 [rcuob/26]
root        68     2    68  0    1 15:40 ?        00:00:00 [rcuob/27]
root        69     2    69  0    1 15:40 ?        00:00:00 [rcuob/28]
root        70     2    70  0    1 15:40 ?        00:00:00 [rcuob/29]
root        71     2    71  0    1 15:40 ?        00:00:00 [rcuob/30]
root        72     2    72  0    1 15:40 ?        00:00:00 [rcuob/31]
root        73     2    73  0    1 15:40 ?        00:00:00 [migration/0]
root        74     2    74  0    1 15:40 ?        00:00:00 [watchdog/0]
root        75     2    75  0    1 15:40 ?        00:00:00 [watchdog/1]
root        76     2    76  0    1 15:40 ?        00:00:00 [migration/1]
root        77     2    77  0    1 15:40 ?        00:00:00 [ksoftirqd/1]
root        79     2    79  0    1 15:40 ?        00:00:00 [kworker/1:0H]
root        80     2    80  0    1 15:40 ?        00:00:00 [watchdog/2]
root        81     2    81  0    1 15:40 ?        00:00:00 [migration/2]
root        82     2    82  0    1 15:40 ?        00:00:00 [ksoftirqd/2]
root        84     2    84  0    1 15:40 ?        00:00:00 [kworker/2:0H]
root        85     2    85  0    1 15:40 ?        00:00:00 [khelper]
root        86     2    86  0    1 15:40 ?        00:00:00 [kdevtmpfs]
root        87     2    87  0    1 15:40 ?        00:00:00 [netns]
root        88     2    88  0    1 15:40 ?        00:00:00 [writeback]
root        89     2    89  0    1 15:40 ?        00:00:00 [kintegrityd]
root        90     2    90  0    1 15:40 ?        00:00:00 [bioset]
root        91     2    91  0    1 15:40 ?        00:00:00 [kworker/u65:0]
root        92     2    92  0    1 15:40 ?        00:00:00 [kblockd]
root        93     2    93  0    1 15:40 ?        00:00:00 [ata_sff]
root        94     2    94  0    1 15:40 ?        00:00:00 [khubd]
root        95     2    95  0    1 15:40 ?        00:00:00 [md]
root        96     2    96  0    1 15:40 ?        00:00:00 [devfreq_wq]
root       100     2   100  0    1 15:40 ?        00:00:00 [khungtaskd]
root       101     2   101  0    1 15:40 ?        00:00:00 [kswapd0]
root       102     2   102  0    1 15:40 ?        00:00:00 [ksmd]
root       103     2   103  0    1 15:40 ?        00:00:00 [khugepaged]
